"availability","brandGroupCode","brandImpl","colors","currency","discountPercentage","displayReference","familyName","id","imageUrl","kind","locale","name","oldPrice","position","price","productColor","reference","section","sectionName","subfamilyName","type"
"in_stock","zara","zara","1","USD","40","8975/071","BLAZER","481254190","https://static.zara.net/assets/public/88fb/c5f9/79cd476e8037/348659bcfae6/08975071506-p/08975071506-p.jpg?ts=1762162362328&w={width}","Wear","en_US","VELVET JACKET - THE ITEM ZARA WOMAN","22900","1","137.40","Light khaki","C08975071506000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","30","6318/289","WIND-JACKET","466358873","https://static.zara.net/assets/public/2c9f/20f7/fe1f4240840c/580402ac5bf9/06318289800-p/06318289800-p.jpg?ts=1757575451602&w={width}","Wear","en_US","PLAID JACKET","7990","2","55.93","Black","C06318289800000-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","4341/786","WIND-JACKET","471495743","https://static.zara.net/assets/public/1c01/e6d9/7dc248dc88d4/a2c3cafced53/04341786700-p/04341786700-p.jpg?ts=1760435008813&w={width}","Wear","en_US","FAUX SUEDE JACKET WITH REMOVABLE COLLAR","11900","3","71.40","Brown","C04341786700018-I2025","1","WOMAN","T.LONG-OUTWEAR","Product"
"in_stock","zara","zara","3","USD","40","4174/674","SWEATSHIRT","463523309","https://static.zara.net/assets/public/efc5/94d6/02ce4e46914d/14c96fa195bf/04174674712-p/04174674712-p.jpg?ts=1758725231825&w={width}","Wear","en_US","PLEATED FLEECE BOMBER JACKET","4990","4","29.94","Ecru","C04174674712015-I2025","1","WOMAN","C. BASIC SWEATSHIRT","Product"
"in_stock","zara","zara","2","USD","30","9386/323","WIND-JACKET","493559473","https://static.zara.net/assets/public/5162/9f0d/60b94fc883d4/802bb0187399/09386341736-p/09386341736-p.jpg?ts=1763125046355&w={width}","Wear","en_US","WOOL BLEND HIGH-NECK BOMBER JACKET","12900","5","90.30","Light mink","C09386323736015-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","3057/240","BLAZER","488005942","https://static.zara.net/assets/public/7145/5296/affe45aaaaf5/881b65a4f827/03057240660-p/03057240660-p.jpg?ts=1761230036853&w={width}","Wear","en_US","FITTED BOUCLÉ WOOL JACKET ZW COLLECTION","14900","6","89.40","Wine","C03057240660000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","3","USD","40","4174/674","SWEATSHIRT","463523309","https://static.zara.net/assets/public/fb2d/d50f/80244a3ea2bd/156501d591de/04174674822-p/04174674822-p.jpg?ts=1757426480427&w={width}","Wear","en_US","PLEATED FLEECE BOMBER JACKET","4990","7","29.94","Charcoal","C04174674822000-I2025","1","WOMAN","C. BASIC SWEATSHIRT","Product"
"in_stock","zara","zara","3","USD","40","4174/674","SWEATSHIRT","463523309","https://static.zara.net/assets/public/cdaa/2e8e/4c6d45e3b66e/536615a55f59/04174674717-p/04174674717-p.jpg?ts=1757349428388&w={width}","Wear","en_US","PLEATED FLEECE BOMBER JACKET","4990","8","29.94","Chocolate","C04174674717000-I2025","1","WOMAN","C. BASIC SWEATSHIRT","Product"
"in_stock","zara","zara","1","USD","40","8307/244","WIND-JACKET","463774111","https://static.zara.net/assets/public/ab1b/386a/23cd4d0997a8/51ab1a36fe11/08307244400-p/08307244400-p.jpg?ts=1758038357395&w={width}","Wear","en_US","ZW COLLECTION DENIM BOMBER JACKET","9990","9","59.94","Blue","C08307244400015-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","5107/291","WIND-JACKET","468095719","https://static.zara.net/assets/public/8f4f/1e7a/9151433293d4/ca17ccbf0b1e/05107291800-p/05107291800-p.jpg?ts=1761745232799&w={width}","Wear","en_US","ZW COLLECTION LIMITED EDITION EMBROIDERED CROPPED JACKET","16900","10","101.40","Black","C05107291800001-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","2","USD","64","2814/404","BLAZER","453744763","https://static.zara.net/assets/public/5174/4cde/73a247eba7a0/23869bf191f4/07824695104-000-p/07824695104-000-p.jpg?ts=1752496131887&w={width}","Wear","en_US","PUFFED BOMBER JACKET ZW COLLECTION","12900","11","46.44","Ecru","C02814404712015-I2025","1","WOMAN","W.BLAZER","Product"
"in_stock","zara","zara","1","USD","30","2753/325","BLAZER","477225272","https://static.zara.net/assets/public/7b5a/3c53/cc534c70a541/a3f9e11a544e/02753325081-p/02753325081-p.jpg?ts=1761752983495&w={width}","Wear","en_US","CROPPED ZIP-UP JACKET","8990","12","62.93","Sand / Marl","C02753325081015-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","30","9658/799","BLAZER","490155566","https://static.zara.net/assets/public/3793/95ec/97f046fc83f5/93fabf5fe5c6/09658799703-p/09658799703-p.jpg?ts=1762769015123&w={width}","Wear","en_US","SHINY JACQUARD BOMBER JACKET","8990","13","62.93","Ocher","C09658799703001-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","30","9499/157","WIND-JACKET","490209518","https://static.zara.net/assets/public/2064/8847/52cd4b10acf5/711024ac51a2/09499157099-p/09499157099-p.jpg?ts=1763556067492&w={width}","Wear","en_US","HOUNDSTOOTH BOMBER JACKET WITH SHOULDER PADS","9990","14","69.93","Black / Brown","C09499157099000-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","4341/744","WIND-JACKET","459120419","https://static.zara.net/assets/public/9324/0d32/68344ba7a679/5713b5d574d8/04341744713-p/04341744713-p.jpg?ts=1758282790551&w={width}","Wear","en_US","100% SUEDE LEATHER JACKET","22900","15","137.40","Champagne","C04341744713017-I2025","1","WOMAN","T.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","8143/327","WIND-JACKET","457833462","https://static.zara.net/assets/public/481a/d990/7cb2411d83f0/eb610207ff02/08143327250-p/08143327250-p.jpg?ts=1752507152010&w={width}","Wear","en_US","100% LINEN BOMBER ZW COLLECTION","14900","16","89.40","White","C08143327250000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","3548/041","WIND-JACKET","492303779","https://static.zara.net/assets/public/adf1/895a/62ed44f1acf3/c5e4cf40cc7b/03548041700-p/03548041700-p.jpg?ts=1763469625697&w={width}","Wear","en_US","FAUX FUR COLLAR JACKET ZW COLLECTION","14900","17","89.40","Brown","C03548041700000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","30","9232/149","COAT","485527358","https://static.zara.net/assets/public/41ca/798e/2da94b29b38e/6a14f85b1036/01689224716-p/01689224716-p.jpg?ts=1761844768276&w={width}","Wear","en_US","PLAID WRAP JACKET","12900","18","90.30","Brown / Ecru","C09232149087015-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","30","0869/100","COAT","477840146","https://static.zara.net/assets/public/04e4/52af/c0a440fc8928/f0d279d34075/09632261400-000-p/09632261400-000-p.jpg?ts=1761581457972&w={width}","Wear","en_US","COMBINATION KNIT JACKET 100% LEATHER","26900","19","188.30","taupe brown","C00869100704000-I2025","1","WOMAN","KNIT COAT","Product"
"in_stock","zara","zara","1","USD","30","8719/129","BLAZER","471888103","https://static.zara.net/assets/public/18c3/714e/60f243b4b3af/67c89f43e9cd/08719129711-p/08719129711-p.jpg?ts=1755699747548&w={width}","Wear","en_US","TOPSTITCH JACKET","8990","20","62.93","Sand","C08719129711000-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","40","4341/766","WIND-JACKET","452730672","https://static.zara.net/assets/public/af06/6f09/86c94ac48c97/c48e0f613a4b/04341766524-p/04341766524-p.jpg?ts=1755683791652&w={width}","Wear","en_US","FAUX LEATHER POCKET JACKET","9990","21","59.94","Green marl","C04341766524000-I2025","1","WOMAN","T.LONG-OUTWEAR","Product"
