"name","price","id","mainImage","category","categoryPage","description","availability","oldPrice","isOnSale"
"HIGH NECK WOOL BLEND SHORT COAT","11900","49802278900","https://static.zara.net/assets/public/0482/290f/5cd94e80bc6a/9b7971cecbc2/02077323700-e1/02077323700-e1.jpg?ts=1766414569031&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"Z.01 MOM FIT HIGH-RISE JEANS","4990","49569867800","https://static.zara.net/assets/public/86a0/4de1/197047879c5e/07ae7ebae9a4/07223022700-p/07223022700-p.jpg?ts=1766479019828&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"FAUX FUR LAPEL COLLAR JACKET","12900","50688138000","https://static.zara.net/assets/public/2405/c433/a9b04db8a7f8/67bd3ccf53e7/06318285700-e1/06318285700-e1.jpg?ts=1761207614375&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"FLOWY SATIN EFFECT FRINGED TOP","5990","49569847800","https://static.zara.net/assets/public/d11c/b7bb/59334c009163/906a56985b5e/02022748800-e1/02022748800-e1.jpg?ts=1763561473188&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"SHORT WOOL COAT WITH HIGH NECK","11900","50163407800","https://static.zara.net/assets/public/f101/32b4/c2864cc58941/7601c0718c1d/02167107800-e1/02167107800-e1.jpg?ts=1766414566557&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"100% WOOL HIGH COLLAR BELTED JUMPER","7990","49748807100","https://static.zara.net/assets/public/756e/df82/fcbd4a3ea2b4/9e5e67f53464/04192101800-e1/04192101800-e1.jpg?ts=1766414576451&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"KNIT MINI DRESS","5990","49838076300","https://static.zara.net/assets/public/616b/653c/cc064570b467/3b52de19cc7e/02142026737-e1/02142026737-e1.jpg?ts=1765793622726&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"MINIMAL SHORT SLEEVE T-SHIRT","1990","49869918500","https://static.zara.net/assets/public/cb22/d871/2844495ea17d/5d5ad489bf60/02335637800-e1/02335637800-e1.jpg?ts=1764930875901&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"SOFT SWEATSHIRT","6990","49571684800","https://static.zara.net/assets/public/8b88/d725/3b07494c9d1d/3dda69a08ec4/01255812916-e1/01255812916-e1.jpg?ts=1766480765612&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
"SOFT PANTS","5990","49670566700","https://static.zara.net/assets/public/03df/d372/83684d23a3c4/13cbb4d3e3eb/04391405916-e1/04391405916-e1.jpg?ts=1766395483923&w={width}","man","https://www.zara.com/us/en/man-l534.html","","in_stock",,
